wallet,trades,days,total_sol,excess_sol,mean_sol,median_sol,win_rate,days_positive,total_ex_top1,total_ex_top3,first_half_mean,second_half_mean,p_luck,verdict
Dani,4,2,0.94,0.04,0.2351,0.6726,0.75,0.5,-1.89,-3.23,0.6726,-0.2023,0.414,INSUFFICIENT
Tom,10,2,-0.3,2.98,-0.0295,-0.2714,0.4,0.5,-1.84,-3.6,-0.188,0.1289,0.557,INSUFFICIENT
