target_lag_ms,samples,mean_pct,median_pct,p25_pct,p75_pct
100,652192,0.0731715790350081,0.0,0.0,0.0
300,643750,0.0936345510353398,0.0,0.0,0.0
500,665492,0.12039869311126204,0.0,0.0,0.08381125
2000,682070,0.1468550027783072,0.0,-2.075975,1.148403
