wallet_label,mint,epoch_ms,entry_signature,wallet_pnl_sol,lagged_pnl_sol,raw_cost_lamports,raw_proceeds_lamports,wallet_cost_lamports,buy_vs,sell_vs,our_cost_lamports,our_proceeds_lamports,same_block_pnl_sol,fill_ratio
Kadenox,AvCBvTYExYBkqY7goWetfoTzuJRyQ5jgV72uSB9wpump,1790379189240,5LhRGhiuW1bjsJUmXjP4RZPxypA7hPnnV9GWwyeTHp8uwvAMzu99oAJXTHLPoKSH7nY1XXL9cTTvpyqjewdW7GHJ,-0.091935,-0.77323,1512750814.638115,1348319965.0134048,1480965965.0,50357419600.0,48929540354.0,1545577507.315762,1319061421.772614,-0.22651608554314803,1.0436279724468631
Sheep,2ENskW2GiAwhskNMi7EZBnwwHxZBYr83aMYUbuaCeeeo,1790371801569,2YMQmnEiRzWXJJWFgnnvnWRzpj3e9Xtou3wciHyHXrmBHC6eptjj6BG1Shhsmh8Ri8tX8dQre9xU4Gct3AeDvPRY,-2.464475,-6.902939,3666666666.666641,5191355532.824539,3046464520.0,33000000000.0,44067172426.0,3746233333.3333077,5078703117.762246,1.3324697844289384,1.2296986584742198
Sheep,2zGd46dHekM6FRUYzbM38rDJEyVMemM2zn8YwnJDpump,1790318416034,3f84RBZ1vtBpikNtX5DTkd7rs6HExstGzFkHZcSo9LzAmhfnWVAc3hn5fhgTEbrPsFnozGHf7K5K3fUL5fNkqGAB,-0.461146,-0.727899,1068197352.7520065,583106214.1543655,1048888839.0,48590858387.0,36585868877.0,1091377235.306725,570452809.3072158,-0.5209244259995092,1.0405080068801504
Sheep,4h3gZdcjZ6rFeZd3hDPjh4oZwL6TS3XqzmEM8r3MuFSx,1790317866048,4C8fLGwDsGknVUi8BEjtzyPYpg3xa4NtLUop4MZjFftWxXWmAiXHBK9rEfzgupVV16GKosoqB5bg9eXVmeqxNqiE,-2.373244,-7.146584,3666666666.666641,5950303016.732178,3047084280.0,33000000000.0,47387441726.0,3746233333.3333077,5821181441.269089,2.074948107935781,1.2294485446045187
Sheep,tbVGQKLAwYktMkPWUiFfwug6cZiqUktCx6MTdBZbSik,1790267308478,3pnhJhVJpAb5BFHNKTimemWku8U28Af5Yr4SCeGe2bW5fwhfvGNMgfhYztWQSFuS65RznNPyX4d7khwCFYEMgkHe,0.072264,-0.512077,3666666666.666641,2645307199.046978,3065173650.0,33000000000.0,30897994482.0,3746233333.3333077,2587904032.8276587,-1.1583293005056492,1.2221928546636527
