wallet_label,mint,epoch_ms,entry_signature,wallet_pnl_sol,lagged_pnl_sol,raw_cost_lamports,raw_proceeds_lamports,wallet_cost_lamports,buy_vs,sell_vs,our_cost_lamports,our_proceeds_lamports,same_block_pnl_sol,fill_ratio
Sheep,2zGd46dHekM6FRUYzbM38rDJEyVMemM2zn8YwnJDpump,1790318416034,3f84RBZ1vtBpikNtX5DTkd7rs6HExstGzFkHZcSo9LzAmhfnWVAc3hn5fhgTEbrPsFnozGHf7K5K3fUL5fNkqGAB,-0.461146,-0.727899,1068197352.7520065,583106214.1543655,1048888839.0,48590858387.0,36585868877.0,1091377235.306725,570452809.3072158,-0.5209244259995092,1.0405080068801504
Sheep,4h3gZdcjZ6rFeZd3hDPjh4oZwL6TS3XqzmEM8r3MuFSx,1790317866048,4C8fLGwDsGknVUi8BEjtzyPYpg3xa4NtLUop4MZjFftWxXWmAiXHBK9rEfzgupVV16GKosoqB5bg9eXVmeqxNqiE,-2.373244,-7.146584,3666666666.666641,5950303016.732178,3047084280.0,33000000000.0,47387441726.0,3746233333.3333077,5821181441.269089,2.074948107935781,1.2294485446045187
Sheep,tbVGQKLAwYktMkPWUiFfwug6cZiqUktCx6MTdBZbSik,1790267308478,3pnhJhVJpAb5BFHNKTimemWku8U28Af5Yr4SCeGe2bW5fwhfvGNMgfhYztWQSFuS65RznNPyX4d7khwCFYEMgkHe,0.072264,-0.512077,3666666666.666641,2645307199.046978,3065173650.0,33000000000.0,30897994482.0,3746233333.3333077,2587904032.8276587,-1.1583293005056492,1.2221928546636527
Sheep,xtUsJqG12ZNuEX75jCd5GnCtUKmAKyJjEhKhznfZuHR,1790171733333,5datPawuLzgXyE5ALRFkmCpWiD4iwnGvbPd8uPvFyAUz8C7TeZzxL5gbhRChsqi4cNibxHtMS5cVf8LbrJDfssxM,1.486614,-0.5,3666666666.666641,3705229699.239704,3078210605.0,33000000000.0,36869153550.0,3746233333.3333077,3624826214.7662024,-0.12140711856710529,1.2170165768541714
Sheep,4vWLSaMkNWJCqiZgWnW9MeEmbYcjfjhjq2gpJWQyqTov,1790171727725,4vFvpi1J7S2mVjB1EFXfyhweEx9scoEMHogx6Y4JzASq3jXPkp6LvrQ5MQZPQafvBzaqx4x1gKZhQrSvE5ytuvDC,0.209349,-0.52275,3666666666.666641,2735508090.2675896,3046469600.0,33000000000.0,31444130506.0,3746233333.3333077,2676147564.7087827,-1.070085768624525,1.2296966079468863
theo,3s1eoMewTLQPLLdgqoPSjugmxWfqyqpYx2roPjxzL3xN,1790143164038,2RDyV8HqxL9vxWPsvpnhgdQefQ37w5coZXm5ChkioV6NVfmPSYiLyHwKEfoPy1WyC9MtK5HuHV7sMXNeCic5HShG,2.27443,1.6746,260358600.50691986,226754376.01402283,263605000.0,37471161257.0,35204306334.0,266008382.13792002,221833806.05451852,-0.0441745760834015,1.0091173617265228
theo,DGQhYCWy9PD9BxbjZJSdSZhHsUeoNrYZeZBrT4zW8dQn,1790142359839,2ynnjee5LEBQ33WUHaqGpnQZr99W5yerdFHYCaidQJyNUwtyfsziM2tGCimQbxQ8nCwiQtoazp3fi7Z3wuuZqbdW,1.274692,1.714558,259813764.57658386,200133587.93571472,263605000.0,44130618360.0,38945954162.0,265451723.26789576,195790689.0775097,-0.06966103419038605,1.007005645825746
Dani,94grscgCfEVzecGthjg7y4r58V2rr4NUYmfqKTnTpump,1790112932744,7L8oKz2FuHqUYsnbn64NJtjnzwy9R2pAMGE8wR4JJKLqn9zeTgg5e6FyhvyYAasQ69r8iuuLpFmz2Pck3PzS2Cm,2.752455,-1.258476,6875205782.062141,5665473724.902401,5161518839.0,35057085414.0,37752489693.0,7024397747.53289,5542532945.072019,-1.4818648024608716,1.3609168089162311
Dani,APXa3MjK3s7T6toVCvodSx1wiDs37TMWaVLrdWs1dxdr,1790112764009,3xE4hkawCz4EjEkiU7mSJhTsbzeebebSGn31MCCE9DeXmBwfYvxevdu7Gtz5Tk5DUVRA66BGwVuk9HrGGLiosvqV,0.767582,0.290536,5701074762.306549,5141410077.097275,5052834791.0,73815781337.0,75371796939.0,5824788084.648602,5029841478.424264,-0.7949466062243375,1.1527762781841964
Sheep,93C2fjLFapy5RmH48aNsUSowZ5hJsS4Q9wX3DuK5AJUK,1790107174687,6La3ETqb6nAmZqKFNqmdwh5SLvZnXvE8aAPQs5SgHptaSbkBXFBGsjf2uHUnR9MtXwzq29QpTHHoVpNPSZNiZsx,0.539585,-0.51072,3666666666.666641,2984814901.518551,3046484840.0,33000000000.0,32912404230.0,3746233333.3333077,2920044418.155598,-0.8261889151777095,1.2296904564059172
